"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "SCSS", "JSON with Comments", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat-list/chat-list.component.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat-list/chat-list.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat-list/chat-list.component.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 8, 40
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat.module.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat.utils.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat/chat.component.html", "HTML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat/chat.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/chat/chat.component.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 0, 3, 15, 123
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/message-list/message-list.component.html", "HTML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/message-list/message-list.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/message-list/message-list.component.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 3, 14, 124
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/my-message/my-message.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/my-message/my-message.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/my-message/my-message.component.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/not-my-message/not-my-message.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/not-my-message/not-my-message.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/chat/not-my-message/not-my-message.component.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed-filters/feed-filters.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 44
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed-filters/feed-filters.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed-filters/feed-filters.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
